
Host: node47.bme.utexas.edu

Timers On : Tue Mar  3 18:02:00 2020
Timers Off: Tue Mar  3 18:19:26 2020

Wall Time:     1046.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.350u      0.550s      0.892w      1 calls
JK: (A|mn)                          :   1547.917u      0.117s    155.004w      1 calls
JK: (A|Q)^-1/2                      :    266.283u      5.017s     28.412w      1 calls
JK: (Q|mn)                          :   1176.533u      1.150s    117.951w      1 calls
HF: Form core H                     :      0.567u      0.033s      0.066w      1 calls
HF: Form S/X                        :      3.217u      0.050s      0.327w      1 calls
HF: Guess                           :      8.583u      0.283s      0.888w      1 calls
SAD Guess                           :      8.400u      0.283s      0.870w      1 calls
HF: Form G                          :   4214.167u    248.417s    574.463w     15 calls
JK: D                               :      0.500u      0.000s      0.049w     15 calls
JK: USO2AO                          :      0.267u      0.033s      0.028w     15 calls
JK: JK                              :   4212.750u    248.367s    574.328w     15 calls
JK: J                               :     97.700u      0.617s      9.961w     30 calls
JK: J1                              :     46.100u      0.333s      4.733w     30 calls
JK: J2                              :     50.533u      0.200s      5.085w     30 calls
JK: K                               :   4064.833u      2.767s    409.311w     30 calls
JK: K1                              :   2284.850u      0.800s    228.967w     30 calls
JK: K2                              :   1779.800u      1.917s    180.321w     30 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.267u      0.000s      0.028w     15 calls
HF: Form D                          :      0.483u      0.000s      0.047w     15 calls
HF: DIIS                            :     19.100u      1.300s      2.040w     14 calls
DIISManager::add_entry              :      1.550u      0.267s      0.188w     14 calls
DIISManager::extrapolate            :      5.400u      0.867s      0.634w     14 calls
bMatrix setup                       :      2.750u      0.550s      0.334w     14 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     14 calls
New vector                          :      2.650u      0.317s      0.299w     14 calls
HF: Form C                          :     46.933u      0.600s      4.762w     14 calls
DFMP2 Singles                       :      0.483u      0.000s      0.048w      1 calls
DFMP2 Aia                           :      0.000u      0.000s      0.000w      0 calls
DFMP2 (A|mn)                        :    928.100u      0.183s     92.945w      3 calls
DFMP2 (A|mn)C_mi                    :    111.783u      0.167s     11.211w      3 calls
DFMP2 (A|mi)C_na                    :     77.033u      0.150s      7.764w      3 calls
DFMP2 Aia Write                     :      2.033u      2.617s      1.737w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.350u      0.550s      0.892w      1 calls
JK: (A|mn)                          :   1547.917u      0.117s    155.004w      1 calls
JK: (A|Q)^-1/2                      :    266.283u      5.017s     28.412w      1 calls
JK: (Q|mn)                          :   1176.533u      1.150s    117.951w      1 calls
HF: Form core H                     :      0.567u      0.033s      0.066w      1 calls
HF: Form S/X                        :      3.217u      0.050s      0.327w      1 calls
HF: Guess                           :      8.583u      0.283s      0.888w      1 calls
| SAD Guess                         :      8.400u      0.283s      0.870w      1 calls
HF: Form G                          :   4214.167u    248.417s    574.463w     15 calls
| JK: D                             :      0.500u      0.000s      0.049w     15 calls
| JK: USO2AO                        :      0.267u      0.033s      0.028w     15 calls
| JK: JK                            :   4212.750u    248.367s    574.328w     15 calls
| | JK: J                           :     97.700u      0.617s      9.961w     30 calls
| | | JK: J1                        :     46.100u      0.333s      4.733w     30 calls
| | | JK: J2                        :     50.533u      0.200s      5.085w     30 calls
| | JK: K                           :   4064.833u      2.767s    409.311w     30 calls
| | | JK: K1                        :   2284.850u      0.800s    228.967w     30 calls
| | | JK: K2                        :   1779.800u      1.917s    180.321w     30 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.267u      0.000s      0.028w     15 calls
HF: Form D                          :      0.483u      0.000s      0.047w     15 calls
HF: DIIS                            :     19.100u      1.300s      2.040w     14 calls
| DIISManager::add_entry            :      1.550u      0.267s      0.188w     14 calls
| DIISManager::extrapolate          :      5.400u      0.867s      0.634w     14 calls
| | bMatrix setup                   :      2.750u      0.550s      0.334w     14 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     14 calls
| | New vector                      :      2.650u      0.317s      0.299w     14 calls
HF: Form C                          :     46.933u      0.600s      4.762w     14 calls
DFMP2 Singles                       :      0.483u      0.000s      0.048w      1 calls
DFMP2 Aia                           :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (A|mn)                      :    928.100u      0.183s     92.945w      3 calls
| DFMP2 (A|mn)C_mi                  :    111.783u      0.167s     11.211w      3 calls
| DFMP2 (A|mi)C_na                  :     77.033u      0.150s      7.764w      3 calls
| DFMP2 Aia Write                   :      2.033u      2.617s      1.737w      3 calls

**************************************************************************************

Host: node44.bme.utexas.edu

Timers On : Tue Mar  3 18:01:55 2020
Timers Off: Tue Mar  3 18:22:43 2020

Wall Time:     1248.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.383u      0.267s      0.820w      1 calls
JK: (A|mn)                          :   1458.050u      0.100s    145.991w      1 calls
JK: (A|Q)^-1/2                      :    279.883u      2.567s     28.327w      1 calls
JK: (Q|mn)                          :   1236.167u      0.783s    124.519w      1 calls
HF: Form core H                     :      0.450u      0.033s      0.052w      1 calls
HF: Form S/X                        :      2.933u      0.033s      0.296w      1 calls
HF: Guess                           :      8.333u      0.250s      0.860w      1 calls
SAD Guess                           :      8.167u      0.250s      0.843w      1 calls
HF: Form G                          :   4276.067u     24.350s    450.671w     15 calls
JK: D                               :      0.483u      0.000s      0.049w     15 calls
JK: USO2AO                          :      0.283u      0.017s      0.028w     15 calls
JK: JK                              :   4274.750u     24.333s    450.540w     15 calls
JK: J                               :    113.067u      0.850s     11.469w     30 calls
JK: J1                              :     57.300u      0.450s      5.796w     30 calls
JK: J2                              :     54.617u      0.350s      5.507w     30 calls
JK: K                               :   4112.867u      2.433s    413.803w     30 calls
JK: K1                              :   2382.583u      0.683s    238.717w     30 calls
JK: K2                              :   1730.017u      1.750s    175.063w     30 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.250u      0.000s      0.026w     15 calls
HF: Form D                          :      0.467u      0.000s      0.046w     15 calls
HF: DIIS                            :     17.683u      1.250s      1.896w     14 calls
DIISManager::add_entry              :      1.517u      0.283s      0.182w     14 calls
DIISManager::extrapolate            :      5.233u      0.900s      0.612w     14 calls
bMatrix setup                       :      2.667u      0.567s      0.315w     14 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     14 calls
New vector                          :      2.550u      0.333s      0.296w     14 calls
HF: Form C                          :     46.400u      0.667s      4.713w     14 calls
DFMP2 Singles                       :      0.450u      0.000s      0.045w      1 calls
DFMP2 Aia                           :   1132.483u     10.333s    128.855w      1 calls
DFMP2 (A|mn)                        :    941.300u      0.717s     94.326w      3 calls
DFMP2 (A|mn)C_mi                    :     92.917u      0.267s      9.333w      3 calls
DFMP2 (A|mi)C_na                    :     72.417u      0.100s      7.261w      3 calls
DFMP2 Aia Write                     :      3.700u      4.317s      2.616w      3 calls
DFMP2 Qia                           :    612.717u      9.600s     66.777w      1 calls
DFMP2 Metric                        :    278.483u      2.567s     28.310w      1 calls
DFMP2 Aia Read                      :      0.000u      1.517s      0.914w      1 calls
DFMP2 (Q|A)(A|ia)                   :    331.217u      0.050s     33.370w      1 calls
