
Host: node144.bme.utexas.edu

Timers On : Wed Jan  8 15:28:53 2020
Timers Off: Wed Jan  8 16:12:43 2020

Wall Time:     2629.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.933u      0.117s      0.627w      1 calls
DFH: initialize()                   :    821.183u      9.467s     51.690w      1 calls
DFH: AO Construction                :    207.333u      1.683s     12.542w      1 calls
DFH: AO-Met. Contraction            :    460.233u      3.900s     29.380w      1 calls
HF: Form core H                     :      0.050u      0.033s      0.066w      1 calls
HF: Form S/X                        :      3.850u      0.167s      0.241w      1 calls
HF: Guess                           :     16.533u      1.133s      1.161w      1 calls
SAD Guess                           :     16.200u      1.100s      1.140w      1 calls
HF: Form G                          :   1498.483u     22.333s     91.458w     15 calls
JK: D                               :      0.517u      0.033s      0.032w     15 calls
JK: USO2AO                          :      0.500u      0.050s      0.031w     15 calls
JK: JK                              :   1496.650u     22.200s     91.342w     15 calls
DFH: compute_JK()                   :   1496.650u     22.200s     91.342w     15 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     15 calls
DFH: compute_J                      :     89.800u      0.850s      5.438w     15 calls
DFH: compute_K                      :   1404.550u     20.583s     85.674w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.450u      0.017s      0.025w     15 calls
HF: Form D                          :      0.367u      0.000s      0.025w     15 calls
HF: DIIS                            :     18.333u      2.267s      1.234w     14 calls
DIISManager::add_entry              :      1.667u      0.267s      0.115w     14 calls
DIISManager::extrapolate            :      8.383u      1.433s      0.587w     14 calls
bMatrix setup                       :      5.383u      1.033s      0.384w     14 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     14 calls
New vector                          :      3.000u      0.400s      0.201w     14 calls
HF: Form C                          :     41.867u      1.517s      2.603w     14 calls
DFMP2 Singles                       :      0.450u      0.033s      0.028w      1 calls
DFMP2 Aia                           :    716.200u     10.917s     55.843w      1 calls
DFMP2 (A|mn)                        :    610.183u      0.033s     36.615w      1 calls
DFMP2 (A|mn)C_mi                    :     51.733u      0.150s      3.114w      1 calls
DFMP2 (A|mi)C_na                    :     36.300u      0.033s      2.180w      1 calls
DFMP2 Aia Write                     :      2.400u      1.933s      1.043w      1 calls
DFMP2 Qia                           :    297.200u      8.233s     20.961w      1 calls
DFMP2 Metric                        :    141.667u      3.467s      8.919w      1 calls
DFMP2 Aia Read                      :      0.017u      0.967s      0.587w      1 calls
DFMP2 (Q|A)(A|ia)                   :    151.000u      0.433s      9.103w      1 calls
DFMP2 Qia Write                     :      1.133u      1.883s      1.087w      1 calls
DFMP2 Energy                        :   1379.767u      6.567s     85.722w      1 calls
DFMP2 Qia Read                      :      1.033u      0.950s      1.183w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.933u      0.117s      0.627w      1 calls
DFH: initialize()                   :    821.183u      9.467s     51.690w      1 calls
| DFH: AO Construction              :    207.333u      1.683s     12.542w      1 calls
| DFH: AO-Met. Contraction          :    460.233u      3.900s     29.380w      1 calls
HF: Form core H                     :      0.050u      0.033s      0.066w      1 calls
HF: Form S/X                        :      3.850u      0.167s      0.241w      1 calls
HF: Guess                           :     16.533u      1.133s      1.161w      1 calls
| SAD Guess                         :     16.200u      1.100s      1.140w      1 calls
HF: Form G                          :   1498.483u     22.333s     91.458w     15 calls
| JK: D                             :      0.517u      0.033s      0.032w     15 calls
| JK: USO2AO                        :      0.500u      0.050s      0.031w     15 calls
| JK: JK                            :   1496.650u     22.200s     91.342w     15 calls
| | DFH: compute_JK()               :   1496.650u     22.200s     91.342w     15 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     15 calls
| | | DFH: compute_J                :     89.800u      0.850s      5.438w     15 calls
| | | DFH: compute_K                :   1404.550u     20.583s     85.674w     15 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.450u      0.017s      0.025w     15 calls
HF: Form D                          :      0.367u      0.000s      0.025w     15 calls
HF: DIIS                            :     18.333u      2.267s      1.234w     14 calls
| DIISManager::add_entry            :      1.667u      0.267s      0.115w     14 calls
| DIISManager::extrapolate          :      8.383u      1.433s      0.587w     14 calls
| | bMatrix setup                   :      5.383u      1.033s      0.384w     14 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     14 calls
| | New vector                      :      3.000u      0.400s      0.201w     14 calls
HF: Form C                          :     41.867u      1.517s      2.603w     14 calls
DFMP2 Singles                       :      0.450u      0.033s      0.028w      1 calls
DFMP2 Aia                           :    716.200u     10.917s     55.843w      1 calls
| DFMP2 (A|mn)                      :    610.183u      0.033s     36.615w      1 calls
| DFMP2 (A|mn)C_mi                  :     51.733u      0.150s      3.114w      1 calls
| DFMP2 (A|mi)C_na                  :     36.300u      0.033s      2.180w      1 calls
| DFMP2 Aia Write                   :      2.400u      1.933s      1.043w      1 calls
DFMP2 Qia                           :    297.200u      8.233s     20.961w      1 calls
| DFMP2 Metric                      :    141.667u      3.467s      8.919w      1 calls
| DFMP2 Aia Read                    :      0.017u      0.967s      0.587w      1 calls
| DFMP2 (Q|A)(A|ia)                 :    151.000u      0.433s      9.103w      1 calls
| DFMP2 Qia Write                   :      1.133u      1.883s      1.087w      1 calls
DFMP2 Energy                        :   1379.767u      6.567s     85.722w      1 calls
| DFMP2 Qia Read                    :      1.033u      0.950s      1.183w      2 calls

**************************************************************************************

Host: node144.bme.utexas.edu

Timers On : Wed Jan  8 16:12:46 2020
Timers Off: Wed Jan  8 19:31:40 2020

Wall Time:    11933.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.833u      0.500s      1.336w      1 calls
DFH: initialize()                   :   3489.183u     35.783s    220.709w      1 calls
DFH: AO Construction                :    713.333u      5.200s     43.948w      2 calls
DFH: AO-Met. Contraction            :   2355.817u     22.200s    150.518w      2 calls
HF: Form core H                     :      0.167u      0.033s      0.084w      1 calls
HF: Form S/X                        :      8.700u      0.350s      0.544w      1 calls
HF: Guess                           :     17.117u      1.050s      1.154w      1 calls
SAD Guess                           :     16.717u      1.033s      1.129w      1 calls
HF: Form G                          :   5152.933u     53.850s    315.875w     15 calls
JK: D                               :      0.967u      0.050s      0.062w     15 calls
JK: USO2AO                          :      0.900u      0.067s      0.056w     15 calls
JK: JK                              :   5149.167u     53.550s    315.626w     15 calls
DFH: compute_JK()                   :   5149.150u     53.550s    315.625w     15 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     15 calls
DFH: compute_J                      :    355.667u      9.250s     21.896w     15 calls
DFH: compute_K                      :   4790.250u     43.250s    293.205w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      1.117u      0.067s      0.072w     15 calls
HF: Form D                          :      0.967u      0.000s      0.060w     15 calls
HF: DIIS                            :     54.867u      4.650s      3.573w     14 calls
DIISManager::add_entry              :      4.267u      0.650s      0.297w     14 calls
DIISManager::extrapolate            :     20.467u      3.133s      1.418w     14 calls
bMatrix setup                       :      9.917u      1.767s      0.702w     14 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.002w     14 calls
New vector                          :     10.500u      1.367s      0.713w     14 calls
HF: Form C                          :    119.350u      3.717s      7.383w     14 calls
DFMP2 Singles                       :      1.317u      0.050s      0.082w      1 calls
DFMP2 Aia                           :   1930.750u     39.933s    157.626w      1 calls
DFMP2 (A|mn)                        :   1598.183u      5.933s     98.813w      1 calls
DFMP2 (A|mn)C_mi                    :    156.667u      2.667s      9.779w      1 calls
DFMP2 (A|mi)C_na                    :    133.233u      1.167s      8.084w      1 calls
DFMP2 Aia Write                     :      1.617u      3.900s      2.292w      1 calls
DFMP2 Qia                           :    826.900u     17.183s     56.904w      1 calls
DFMP2 Metric                        :    370.400u      7.133s     22.901w      1 calls
DFMP2 Aia Read                      :      0.067u      2.267s      1.393w      1 calls
DFMP2 (Q|A)(A|ia)                   :    450.483u      0.517s     27.192w      1 calls
DFMP2 Qia Write                     :      1.617u      4.067s      2.377w      1 calls
DFMP2 Energy                        :   4821.017u     14.567s    296.084w      1 calls
DFMP2 Qia Read                      :      2.300u      2.267s      2.737w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.833u      0.500s      1.336w      1 calls
DFH: initialize()                   :   3489.183u     35.783s    220.709w      1 calls
| DFH: AO Construction              :    713.333u      5.200s     43.948w      2 calls
| DFH: AO-Met. Contraction          :   2355.817u     22.200s    150.518w      2 calls
HF: Form core H                     :      0.167u      0.033s      0.084w      1 calls
HF: Form S/X                        :      8.700u      0.350s      0.544w      1 calls
HF: Guess                           :     17.117u      1.050s      1.154w      1 calls
| SAD Guess                         :     16.717u      1.033s      1.129w      1 calls
HF: Form G                          :   5152.933u     53.850s    315.875w     15 calls
| JK: D                             :      0.967u      0.050s      0.062w     15 calls
| JK: USO2AO                        :      0.900u      0.067s      0.056w     15 calls
| JK: JK                            :   5149.167u     53.550s    315.626w     15 calls
| | DFH: compute_JK()               :   5149.150u     53.550s    315.625w     15 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     15 calls
| | | DFH: compute_J                :    355.667u      9.250s     21.896w     15 calls
| | | DFH: compute_K                :   4790.250u     43.250s    293.205w     15 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      1.117u      0.067s      0.072w     15 calls
HF: Form D                          :      0.967u      0.000s      0.060w     15 calls
HF: DIIS                            :     54.867u      4.650s      3.573w     14 calls
| DIISManager::add_entry            :      4.267u      0.650s      0.297w     14 calls
| DIISManager::extrapolate          :     20.467u      3.133s      1.418w     14 calls
| | bMatrix setup                   :      9.917u      1.767s      0.702w     14 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.002w     14 calls
| | New vector                      :     10.500u      1.367s      0.713w     14 calls
HF: Form C                          :    119.350u      3.717s      7.383w     14 calls
DFMP2 Singles                       :      1.317u      0.050s      0.082w      1 calls
DFMP2 Aia                           :   1930.750u     39.933s    157.626w      1 calls
| DFMP2 (A|mn)                      :   1598.183u      5.933s     98.813w      1 calls
| DFMP2 (A|mn)C_mi                  :    156.667u      2.667s      9.779w      1 calls
| DFMP2 (A|mi)C_na                  :    133.233u      1.167s      8.084w      1 calls
| DFMP2 Aia Write                   :      1.617u      3.900s      2.292w      1 calls
DFMP2 Qia                           :    826.900u     17.183s     56.904w      1 calls
| DFMP2 Metric                      :    370.400u      7.133s     22.901w      1 calls
| DFMP2 Aia Read                    :      0.067u      2.267s      1.393w      1 calls
| DFMP2 (Q|A)(A|ia)                 :    450.483u      0.517s     27.192w      1 calls
| DFMP2 Qia Write                   :      1.617u      4.067s      2.377w      1 calls
DFMP2 Energy                        :   4821.017u     14.567s    296.084w      1 calls
| DFMP2 Qia Read                    :      2.300u      2.267s      2.737w      2 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

