
Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:30:42 2019
Timers Off: Sun Dec 29 12:30:49 2019

Wall Time:        6.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.233u      0.017s      0.138w      5 calls
DFH: initialize()                   :      1.133u      0.017s      0.690w      5 calls
DFH: AO Construction                :      0.317u      0.000s      0.187w      5 calls
DFH: AO-Met. Contraction            :      0.100u      0.017s      0.068w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.112w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      5 calls
HF: Guess                           :      0.550u      0.000s      0.323w      5 calls
SAD Guess                           :      0.517u      0.000s      0.311w      1 calls
HF: Form G                          :      0.167u      0.000s      0.099w     48 calls
JK: D                               :      0.000u      0.000s      0.001w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.167u      0.000s      0.096w     48 calls
DFH: compute_JK()                   :      0.167u      0.000s      0.096w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.017u      0.000s      0.017w     48 calls
DFH: compute_K                      :      0.133u      0.000s      0.078w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.001w     48 calls
HF: Form D                          :      0.000u      0.000s      0.001w     48 calls
HF: DIIS                            :      0.067u      0.000s      0.049w     47 calls
DIISManager::add_entry              :      0.000u      0.000s      0.021w     43 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.006w     43 calls
bMatrix setup                       :      0.000u      0.000s      0.002w     43 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     43 calls
New vector                          :      0.000u      0.000s      0.002w     43 calls
HF: Form C                          :      0.033u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.167u      0.017s      0.104w      5 calls
Grad: S                             :      0.000u      0.000s      0.002w      5 calls
Grad: JK                            :      3.733u      0.000s      2.594w      5 calls
JKGrad: Amn                         :      0.533u      0.000s      0.328w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.500u      0.000s      0.304w      5 calls
JKGrad: UV                          :      0.017u      0.000s      0.005w      5 calls
JKGrad: ABx                         :      0.367u      0.000s      0.402w      5 calls
JKGrad: Amnx                        :      2.083u      0.000s      1.315w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.233u      0.017s      0.138w      5 calls
DFH: initialize()                   :      1.133u      0.017s      0.690w      5 calls
| DFH: AO Construction              :      0.317u      0.000s      0.187w      5 calls
| DFH: AO-Met. Contraction          :      0.100u      0.017s      0.068w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.112w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      5 calls
HF: Guess                           :      0.550u      0.000s      0.323w      5 calls
| SAD Guess                         :      0.517u      0.000s      0.311w      1 calls
HF: Form G                          :      0.167u      0.000s      0.099w     48 calls
| JK: D                             :      0.000u      0.000s      0.001w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.167u      0.000s      0.096w     48 calls
| | DFH: compute_JK()               :      0.167u      0.000s      0.096w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.017w     48 calls
| | | DFH: compute_K                :      0.133u      0.000s      0.078w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.001w     48 calls
HF: Form D                          :      0.000u      0.000s      0.001w     48 calls
HF: DIIS                            :      0.067u      0.000s      0.049w     47 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.021w     43 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.006w     43 calls
