
Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:19:10 2019
Timers Off: Sun Dec 29 12:29:38 2019

Wall Time:      627.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     21.067u      0.117s     12.788w    100 calls
HF: Form core H                     :      0.067u      0.050s      1.913w    100 calls
HF: Form S/X                        :      0.083u      0.017s      0.044w    100 calls
HF: Guess                           :     13.317u      0.067s      8.050w    100 calls
SAD Guess                           :     12.833u      0.067s      7.749w     25 calls
HF: Form G                          :      0.617u      0.017s      0.409w   1171 calls
JK: D                               :      0.017u      0.000s      0.017w   1171 calls
JK: USO2AO                          :      0.000u      0.000s      0.006w   1171 calls
JK: JK                              :      0.483u      0.017s      0.331w   1171 calls
PK computes JK                      :      0.483u      0.017s      0.327w   1171 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w   1171 calls
HF: Form F                          :      0.033u      0.000s      0.018w   1171 calls
HF: Form D                          :      0.017u      0.017s      0.016w   1171 calls
HF: DIIS                            :      1.417u      0.083s      1.154w   1146 calls
DIISManager::add_entry              :      0.083u      0.050s      0.459w   1071 calls
DIISManager::extrapolate            :      0.300u      0.017s      0.154w   1071 calls
bMatrix setup                       :      0.167u      0.017s      0.065w   1071 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.036w   1071 calls
New vector                          :      0.067u      0.000s      0.043w   1071 calls
HF: Form C                          :      0.317u      0.050s      0.278w   1146 calls
DFMP2 Singles                       :      0.000u      0.000s      0.009w    100 calls
DFMP2 Aia                           :     10.800u      0.033s      7.342w    100 calls
DFMP2 (A|mn)                        :      2.400u      0.000s      1.404w    100 calls
DFMP2 (A|mn)C_mi                    :      0.033u      0.000s      0.033w    100 calls
DFMP2 (A|mi)C_na                    :      0.067u      0.000s      0.029w    100 calls
DFMP2 Aia Write                     :      0.000u      0.017s      0.016w    100 calls
DFMP2 Qia                           :      6.817u      0.100s      5.035w    100 calls
DFMP2 Metric                        :      6.583u      0.033s      4.012w    100 calls
DFMP2 Aia Read                      :      0.083u      0.017s      0.037w    100 calls
DFMP2 (Q|A)(A|ia)                   :      0.067u      0.050s      0.068w    100 calls
DFMP2 Qia Write                     :      0.017u      0.000s      0.019w    100 calls
DFMP2 Energy                        :      0.100u      0.150s      1.101w    100 calls
DFMP2 Qia Read                      :      0.000u      0.033s      0.008w    200 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     21.067u      0.117s     12.788w    100 calls
HF: Form core H                     :      0.067u      0.050s      1.913w    100 calls
HF: Form S/X                        :      0.083u      0.017s      0.044w    100 calls
HF: Guess                           :     13.317u      0.067s      8.050w    100 calls
| SAD Guess                         :     12.833u      0.067s      7.749w     25 calls
HF: Form G                          :      0.617u      0.017s      0.409w   1171 calls
| JK: D                             :      0.017u      0.000s      0.017w   1171 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w   1171 calls
| JK: JK                            :      0.483u      0.017s      0.331w   1171 calls
| | PK computes JK                  :      0.483u      0.017s      0.327w   1171 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w   1171 calls
HF: Form F                          :      0.033u      0.000s      0.018w   1171 calls
HF: Form D                          :      0.017u      0.017s      0.016w   1171 calls
HF: DIIS                            :      1.417u      0.083s      1.154w   1146 calls
| DIISManager::add_entry            :      0.083u      0.050s      0.459w   1071 calls
| DIISManager::extrapolate          :      0.300u      0.017s      0.154w   1071 calls
| | bMatrix setup                   :      0.167u      0.017s      0.065w   1071 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.036w   1071 calls
| | New vector                      :      0.067u      0.000s      0.043w   1071 calls
HF: Form C                          :      0.317u      0.050s      0.278w   1146 calls
DFMP2 Singles                       :      0.000u      0.000s      0.009w    100 calls
DFMP2 Aia                           :     10.800u      0.033s      7.342w    100 calls
| DFMP2 (A|mn)                      :      2.400u      0.000s      1.404w    100 calls
| DFMP2 (A|mn)C_mi                  :      0.033u      0.000s      0.033w    100 calls
| DFMP2 (A|mi)C_na                  :      0.067u      0.000s      0.029w    100 calls
| DFMP2 Aia Write                   :      0.000u      0.017s      0.016w    100 calls
DFMP2 Qia                           :      6.817u      0.100s      5.035w    100 calls
| DFMP2 Metric                      :      6.583u      0.033s      4.012w    100 calls
| DFMP2 Aia Read                    :      0.083u      0.017s      0.037w    100 calls
| DFMP2 (Q|A)(A|ia)                 :      0.067u      0.050s      0.068w    100 calls
| DFMP2 Qia Write                   :      0.017u      0.000s      0.019w    100 calls
