
Host: bme-nova.bme.utexas.edu

Timers On : Sat Dec 28 15:45:10 2019
Timers Off: Sat Dec 28 15:45:19 2019

Wall Time:        9.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.000s      0.028w      1 calls
DFH: initialize()                   :      1.100u      0.117s      0.185w      1 calls
DFH: AO Construction                :      0.150u      0.000s      0.023w      1 calls
DFH: AO-Met. Contraction            :      0.050u      0.017s      0.009w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      3.033u      0.100s      0.468w      1 calls
SAD Guess                           :      2.933u      0.100s      0.454w      1 calls
HF: Form G                          :      0.117u      0.017s      0.016w     12 calls
JK: D                               :      0.000u      0.017s      0.000w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      0.117u      0.000s      0.014w     12 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.014w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.017u      0.000s      0.004w     12 calls
DFH: compute_K                      :      0.100u      0.000s      0.010w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.083u      0.000s      0.010w     11 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     11 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.003w     11 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     11 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     11 calls
New vector                          :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.067u      0.000s      0.009w     11 calls
DFMP2 Singles                       :      0.017u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.950u      0.033s      0.149w      1 calls
DFMP2 (A|mn)                        :      0.250u      0.000s      0.038w      1 calls
DFMP2 (A|mn)C_mi                    :      0.017u      0.000s      0.001w      1 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.001w      1 calls
DFMP2 Qia                           :      0.700u      0.050s      0.111w      1 calls
DFMP2 Metric                        :      0.683u      0.033s      0.108w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.000w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.017u      0.000s      0.001w      1 calls
DFMP2 Qia Write                     :      0.000u      0.017s      0.001w      1 calls
DFMP2 Energy                        :      0.017u      0.000s      0.002w      1 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.000w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.000s      0.028w      1 calls
DFH: initialize()                   :      1.100u      0.117s      0.185w      1 calls
| DFH: AO Construction              :      0.150u      0.000s      0.023w      1 calls
| DFH: AO-Met. Contraction          :      0.050u      0.017s      0.009w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      3.033u      0.100s      0.468w      1 calls
| SAD Guess                         :      2.933u      0.100s      0.454w      1 calls
HF: Form G                          :      0.117u      0.017s      0.016w     12 calls
| JK: D                             :      0.000u      0.017s      0.000w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      0.117u      0.000s      0.014w     12 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.014w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.004w     12 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.010w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
