
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:35:06 2019
Timers Off: Sun Dec 29 13:36:06 2019

Wall Time:       60.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.100u      0.000s      1.277w     40 calls
DFH: initialize()                   :     15.817u      0.150s      9.631w     40 calls
DFH: AO Construction                :      5.650u      0.000s      3.364w     40 calls
DFH: AO-Met. Contraction            :      2.667u      0.017s      1.623w     40 calls
HF: Form core H                     :      0.050u      0.033s      0.050w     20 calls
HF: Form S/X                        :      0.050u      0.000s      0.018w     20 calls
HF: Guess                           :      0.733u      0.000s      0.445w     20 calls
SAD Guess                           :      0.717u      0.000s      0.432w      1 calls
HF: Form G                          :      4.300u      0.000s      2.427w    302 calls
JK: D                               :      0.033u      0.000s      0.013w    596 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w    596 calls
JK: JK                              :     11.683u      0.033s      6.904w    596 calls
DFH: compute_JK()                   :     11.683u      0.033s      6.902w    596 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    596 calls
DFH: compute_J                      :      2.917u      0.017s      1.580w    596 calls
DFH: compute_K                      :      8.733u      0.017s      5.310w    596 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    596 calls
HF: Form F                          :      0.000u      0.000s      0.008w    302 calls
HF: Form D                          :      0.000u      0.000s      0.005w    302 calls
HF: DIIS                            :      0.333u      0.083s      0.274w    301 calls
DIISManager::add_entry              :      0.000u      0.050s      0.041w    282 calls
DIISManager::extrapolate            :      0.033u      0.033s      0.072w    282 calls
bMatrix setup                       :      0.000u      0.017s      0.028w    282 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.018w    282 calls
New vector                          :      0.033u      0.017s      0.025w    282 calls
HF: Form C                          :      0.167u      0.000s      0.228w    301 calls
DFMP2 Singles                       :      0.033u      0.000s      0.003w     20 calls
DFMP2 Aia                           :      4.567u      0.067s      2.770w     20 calls
DFMP2 (A|mn)                        :      2.350u      0.017s      1.425w     20 calls
DFMP2 (A|mn)C_mi                    :      0.083u      0.000s      0.039w     20 calls
DFMP2 (A|mi)C_na                    :      0.017u      0.000s      0.030w     20 calls
DFMP2 Aia Write                     :      0.000u      0.017s      0.025w     20 calls
DFMP2 iaQ                           :      2.067u      0.083s      1.395w     20 calls
DFMP2 Metric                        :      1.817u      0.000s      1.147w     20 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.010w     20 calls
DFMP2 (Q|A)(A|ia)                   :      0.167u      0.017s      0.157w     40 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.025w     20 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.020w     60 calls
DFMP2 Bia Write                     :      0.000u      0.067s      0.025w     20 calls
DFMP2 aiQ                           :      0.033u      0.067s      0.060w     20 calls
DFMP2 Tij                           :      1.283u      0.133s      0.808w     20 calls
DFMP2 Cia Read                      :      0.000u      0.050s      0.018w     40 calls
DFMP2 I                             :      0.717u      0.017s      0.438w     40 calls
DFMP2 T2                            :      0.550u      0.000s      0.341w     40 calls
DFMP2 G                             :      0.450u      0.000s      0.228w     20 calls
DFMP2 Pab                           :      0.050u      0.000s      0.058w     20 calls
DFMP2 Gia Write                     :      0.000u      0.067s      0.028w     20 calls
DFMP2 Tab                           :      0.717u      0.000s      0.473w     20 calls
DFMP2 Qai Read                      :      0.017u      0.000s      0.017w     40 calls
DFMP2 Pij                           :      0.017u      0.000s      0.020w     20 calls
DFMP2 gamma                         :      0.233u      0.050s      0.131w     20 calls
DFMP2 Gia Read                      :      0.000u      0.000s      0.014w     40 calls
DFMP2 g                             :      0.183u      0.050s      0.082w     20 calls
DFMP2 Gia                           :      0.000u      0.067s      0.093w     20 calls
