
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:06:07 2019
Timers Off: Sun Dec 29 14:06:11 2019

Wall Time:        3.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.300u      0.000s      0.172w      6 calls
DFH: initialize()                   :      0.750u      0.017s      0.447w      6 calls
DFH: AO Construction                :      0.050u      0.000s      0.022w      6 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w      6 calls
HF: Form core H                     :      0.000u      0.017s      0.002w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.383u      0.000s      0.239w      3 calls
SAD Guess                           :      0.367u      0.000s      0.225w      1 calls
HF: Form G                          :      0.017u      0.000s      0.006w     33 calls
JK: D                               :      0.000u      0.000s      0.000w     63 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     63 calls
JK: JK                              :      0.033u      0.000s      0.013w     63 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.013w     63 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     63 calls
DFH: compute_J                      :      0.017u      0.000s      0.003w     63 calls
DFH: compute_K                      :      0.017u      0.000s      0.009w     63 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     63 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.033u      0.000s      0.017w     32 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     30 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.002w     30 calls
bMatrix setup                       :      0.017u      0.000s      0.001w     30 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     30 calls
New vector                          :      0.000u      0.000s      0.001w     30 calls
HF: Form C                          :      0.000u      0.000s      0.003w     32 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      0.300u      0.000s      0.175w      3 calls
DFMP2 (A|mn)                        :      0.033u      0.000s      0.008w      3 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.000w      3 calls
DFMP2 iaQ                           :      0.200u      0.000s      0.134w      3 calls
DFMP2 Metric                        :      0.200u      0.000s      0.123w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.000w      3 calls
DFMP2 (Q|A)(A|ia)                   :      0.000u      0.000s      0.000w      6 calls
