
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:09:57 2019
Timers Off: Sun Dec 29 14:12:40 2019

Wall Time:      162.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.683u      0.000s      0.991w     26 calls
DFH: initialize()                   :     37.900u      1.650s     23.701w     26 calls
DFH: AO Construction                :     14.683u      0.467s      9.052w     26 calls
DFH: AO-Met. Contraction            :     12.733u      0.817s      8.133w     26 calls
HF: Form core H                     :      0.017u      0.000s      0.016w     13 calls
HF: Form S/X                        :      0.033u      0.000s      0.033w     13 calls
HF: Guess                           :      0.617u      0.000s      0.364w     13 calls
SAD Guess                           :      0.583u      0.000s      0.348w      1 calls
HF: Form G                          :     24.500u      0.033s     14.678w    200 calls
JK: D                               :      0.000u      0.000s      0.022w    395 calls
JK: USO2AO                          :      0.000u      0.000s      0.008w    395 calls
JK: JK                              :     69.383u      0.583s     41.912w    395 calls
DFH: compute_JK()                   :     69.383u      0.583s     41.910w    395 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    395 calls
DFH: compute_J                      :     17.400u      0.017s     10.337w    395 calls
DFH: compute_K                      :     51.950u      0.533s     31.550w    395 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    395 calls
HF: Form F                          :      0.000u      0.000s      0.014w    200 calls
HF: Form D                          :      0.017u      0.000s      0.007w    200 calls
HF: DIIS                            :      0.400u      0.183s      0.360w    199 calls
DIISManager::add_entry              :      0.000u      0.033s      0.049w    187 calls
DIISManager::extrapolate            :      0.100u      0.150s      0.121w    187 calls
bMatrix setup                       :      0.017u      0.067s      0.054w    187 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.013w    187 calls
New vector                          :      0.067u      0.083s      0.053w    187 calls
HF: Form C                          :      0.717u      0.000s      0.442w    199 calls
DFMP2 Singles                       :      0.017u      0.000s      0.006w     13 calls
DFMP2 Aia                           :     10.633u      0.450s      6.679w     13 calls
DFMP2 (A|mn)                        :      8.067u      0.017s      4.844w     13 calls
DFMP2 (A|mn)C_mi                    :      0.467u      0.000s      0.307w     13 calls
DFMP2 (A|mi)C_na                    :      0.250u      0.000s      0.149w     13 calls
DFMP2 Aia Write                     :      0.000u      0.183s      0.114w     13 calls
DFMP2 iaQ                           :      3.633u      0.483s      2.474w     13 calls
DFMP2 Metric                        :      2.217u      0.000s      1.340w     13 calls
DFMP2 Aia Read                      :      0.000u      0.083s      0.056w     13 calls
DFMP2 (Q|A)(A|ia)                   :      1.217u      0.000s      0.751w     26 calls
DFMP2 Qia Write                     :      0.000u      0.150s      0.086w     13 calls
DFMP2 Qia Read                      :      0.133u      0.200s      0.157w     39 calls
DFMP2 Bia Write                     :      0.000u      0.133s      0.088w     13 calls
DFMP2 aiQ                           :      0.033u      0.233s      0.171w     13 calls
DFMP2 Tij                           :      9.300u      0.833s      6.083w     13 calls
DFMP2 Cia Read                      :      0.000u      0.200s      0.102w     26 calls
DFMP2 I                             :      5.633u      0.000s      3.423w     26 calls
DFMP2 T2                            :      4.083u      0.017s      2.420w     26 calls
DFMP2 G                             :      3.067u      0.000s      1.841w     13 calls
DFMP2 Pab                           :      1.033u      0.000s      0.627w     13 calls
DFMP2 Gia Write                     :      0.000u      0.117s      0.092w     13 calls
DFMP2 Tab                           :      5.600u      0.617s      3.720w     13 calls
DFMP2 Qai Read                      :      0.017u      0.067s      0.092w     26 calls
DFMP2 Pij                           :      0.550u      0.000s      0.327w     13 calls
DFMP2 gamma                         :      0.750u      0.233s      0.574w     13 calls
DFMP2 Gia Read                      :      0.000u      0.200s      0.098w     26 calls
DFMP2 g                             :      0.650u      0.000s      0.402w     13 calls
