
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:25:21 2019
Timers Off: Sun Dec 29 13:25:23 2019

Wall Time:        2.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.167u      0.000s      0.102w      4 calls
DFH: initialize()                   :      0.467u      0.017s      0.309w      4 calls
DFH: AO Construction                :      0.050u      0.000s      0.019w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      4 calls
HF: Form core H                     :      0.000u      0.017s      0.004w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.350u      0.000s      0.216w      2 calls
SAD Guess                           :      0.333u      0.000s      0.204w      1 calls
HF: Form G                          :      0.000u      0.000s      0.004w     19 calls
JK: D                               :      0.000u      0.000s      0.000w     35 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     35 calls
JK: JK                              :      0.017u      0.000s      0.008w     35 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.008w     35 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     35 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     35 calls
DFH: compute_K                      :      0.017u      0.000s      0.006w     35 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     35 calls
HF: Form F                          :      0.000u      0.000s      0.000w     19 calls
HF: Form D                          :      0.000u      0.000s      0.000w     19 calls
HF: DIIS                            :      0.000u      0.000s      0.009w     18 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     17 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w     17 calls
bMatrix setup                       :      0.000u      0.000s      0.000w     17 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     17 calls
New vector                          :      0.000u      0.000s      0.000w     17 calls
HF: Form C                          :      0.000u      0.000s      0.002w     18 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      2 calls
DFMP2 Aia                           :      0.183u      0.000s      0.106w      2 calls
DFMP2 (A|mn)                        :      0.000u      0.000s      0.007w      2 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w      2 calls
