
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:03:14 2019
Timers Off: Sun Dec 29 14:03:20 2019

Wall Time:        5.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.383u      0.000s      0.223w      8 calls
DFH: initialize()                   :      1.283u      0.033s      0.774w      8 calls
DFH: AO Construction                :      0.167u      0.000s      0.128w      8 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.035w      8 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.533u      0.000s      0.328w      4 calls
SAD Guess                           :      0.517u      0.000s      0.315w      1 calls
HF: Form G                          :      0.100u      0.000s      0.039w     49 calls
JK: D                               :      0.000u      0.000s      0.001w     94 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     94 calls
JK: JK                              :      0.133u      0.000s      0.102w     94 calls
DFH: compute_JK()                   :      0.133u      0.000s      0.102w     94 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     94 calls
DFH: compute_J                      :      0.067u      0.000s      0.018w     94 calls
DFH: compute_K                      :      0.067u      0.000s      0.083w     94 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     94 calls
HF: Form F                          :      0.000u      0.000s      0.000w     49 calls
HF: Form D                          :      0.000u      0.000s      0.000w     49 calls
HF: DIIS                            :      0.050u      0.017s      0.026w     48 calls
DIISManager::add_entry              :      0.000u      0.000s      0.002w     45 calls
DIISManager::extrapolate            :      0.000u      0.017s      0.004w     45 calls
bMatrix setup                       :      0.000u      0.017s      0.002w     45 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     45 calls
New vector                          :      0.000u      0.000s      0.001w     45 calls
HF: Form C                          :      0.017u      0.000s      0.010w     48 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      4 calls
DFMP2 Aia                           :      0.467u      0.000s      0.268w      4 calls
DFMP2 (A|mn)                        :      0.100u      0.000s      0.051w      4 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.001w      4 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      4 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.001w      4 calls
DFMP2 iaQ                           :      0.283u      0.000s      0.176w      4 calls
DFMP2 Metric                        :      0.283u      0.000s      0.168w      4 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      4 calls
DFMP2 (Q|A)(A|ia)                   :      0.000u      0.000s      0.003w      8 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.001w      4 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.000w     12 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.001w      4 calls
DFMP2 aiQ                           :      0.000u      0.000s      0.004w      4 calls
DFMP2 Tij                           :      0.017u      0.000s      0.011w      4 calls
DFMP2 Cia Read                      :      0.000u      0.000s      0.000w      8 calls
