
Host: node37.bme.utexas.edu

Timers On : Wed Apr  1 17:40:37 2020
Timers Off: Wed Apr  1 17:44:31 2020

Wall Time:      234.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     46.300u      1.200s      7.142w     12 calls
JK: (A|mn)                          :     43.433u      0.000s      6.521w     12 calls
JK: (A|Q)^-1/2                      :     26.400u      0.717s      4.073w     12 calls
JK: (Q|mn)                          :     17.317u      0.067s      2.614w     12 calls
JK: (A|mn)^L                        :     19.950u      0.000s      3.001w     12 calls
JK: (A|Q)^-1                        :     26.067u      0.817s      4.020w     12 calls
JK: (Q|mn)^L                        :     16.117u      0.083s      2.432w     12 calls
JK: (A|mn)^R                        :     25.167u      0.050s      3.785w     12 calls
HF: Form core H                     :      2.400u      0.217s      0.516w     12 calls
HF: Form S/X                        :      0.383u      0.000s      0.053w     12 calls
HF: Guess                           :      3.817u      0.217s      0.607w     12 calls
SAD Guess                           :      3.717u      0.217s      0.591w      1 calls
HF: Form G                          :    694.017u      9.850s    105.616w    126 calls
RV: Form V                          :    428.483u      4.500s     64.995w    126 calls
Properties                          :    108.999p                         390921 calls
Functional                          :     93.073p                         390921 calls
V_xc                                :     97.601p                         356929 calls
JK: D                               :      0.117u      0.000s      0.010w    126 calls
JK: USO2AO                          :      0.017u      0.000s      0.009w    126 calls
JK: JK                              :    265.150u      5.350s     40.570w    126 calls
JK: J                               :      6.183u      0.283s      0.965w    126 calls
JK: J1                              :      3.150u      0.267s      0.541w    126 calls
JK: J2                              :      2.983u      0.017s      0.413w    126 calls
JK: K                               :    106.083u      0.233s     15.972w    126 calls
JK: K1                              :     87.500u      0.133s     13.155w    126 calls
JK: K2                              :     18.567u      0.100s      2.811w    126 calls
JK: wK                              :    133.850u      0.717s     20.195w    252 calls
JK: wK1                             :    114.317u      0.617s     17.276w    504 calls
JK: wK2                             :     19.450u      0.100s      2.908w    252 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    126 calls
HF: Form F                          :      0.033u      0.000s      0.009w    126 calls
HF: Form D                          :      0.067u      0.000s      0.008w    126 calls
HF: DIIS                            :      1.817u      0.300s      0.314w    125 calls
DIISManager::add_entry              :      0.417u      0.100s      0.091w    114 calls
DIISManager::extrapolate            :      0.467u      0.133s      0.089w    114 calls
bMatrix setup                       :      0.233u      0.067s      0.040w    114 calls
bMatrix pseudoinverse               :      0.050u      0.017s      0.009w    114 calls
New vector                          :      0.183u      0.050s      0.038w    114 calls
HF: Form C                          :      3.150u      0.133s      0.507w    125 calls
Grad: V T Perturb                   :     10.417u      0.250s      1.604w     12 calls
Grad: S                             :      0.133u      0.000s      0.016w     12 calls
Grad: JK                            :    352.033u      9.233s     55.703w     12 calls
JKGrad: Amn                         :     39.567u      1.417s      6.574w     12 calls
JKGrad: Awmn                        :     43.850u      1.633s      6.826w     12 calls
JKGrad: AB                          :     32.250u      1.200s      5.012w     12 calls
JKGrad: UV                          :      6.100u      0.467s      0.986w     12 calls
JKGrad: ABx                         :      7.617u      0.317s      1.196w     12 calls
JKGrad: Amnx                        :    215.700u      3.550s     33.750w     12 calls
Grad: XC                            :    107.967u      0.350s     16.258w     12 calls
V_xc gradient                       :     22.173p                          33992 calls

--------------------------------------------------------------------------------------
V: Grid                             :     46.300u      1.200s      7.142w     12 calls
JK: (A|mn)                          :     43.433u      0.000s      6.521w     12 calls
JK: (A|Q)^-1/2                      :     26.400u      0.717s      4.073w     12 calls
JK: (Q|mn)                          :     17.317u      0.067s      2.614w     12 calls
JK: (A|mn)^L                        :     19.950u      0.000s      3.001w     12 calls
JK: (A|Q)^-1                        :     26.067u      0.817s      4.020w     12 calls
JK: (Q|mn)^L                        :     16.117u      0.083s      2.432w     12 calls
JK: (A|mn)^R                        :     25.167u      0.050s      3.785w     12 calls
HF: Form core H                     :      2.400u      0.217s      0.516w     12 calls
HF: Form S/X                        :      0.383u      0.000s      0.053w     12 calls
HF: Guess                           :      3.817u      0.217s      0.607w     12 calls
| SAD Guess                         :      3.717u      0.217s      0.591w      1 calls
HF: Form G                          :    694.017u      9.850s    105.616w    126 calls
| RV: Form V                        :    428.483u      4.500s     64.995w    126 calls
| | Properties                      :     75.055p                         356929 calls
| | Functional                      :     84.903p                         356929 calls
| | V_xc                            :     97.601p                         356929 calls
| JK: D                             :      0.117u      0.000s      0.010w    126 calls
| JK: USO2AO                        :      0.017u      0.000s      0.009w    126 calls
| JK: JK                            :    265.150u      5.350s     40.570w    126 calls
