
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:28:32 2019
Timers Off: Sun Dec 29 13:28:34 2019

Wall Time:        2.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      4 calls
DFH: initialize()                   :      0.433u      0.000s      0.274w      4 calls
DFH: AO Construction                :      0.017u      0.000s      0.008w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.417u      0.000s      0.245w      2 calls
SAD Guess                           :      0.383u      0.000s      0.231w      1 calls
HF: Form G                          :      0.000u      0.000s      0.004w     23 calls
JK: D                               :      0.000u      0.000s      0.000w     45 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     45 calls
JK: JK                              :      0.000u      0.000s      0.006w     45 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.006w     45 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     45 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     45 calls
DFH: compute_K                      :      0.000u      0.000s      0.004w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     45 calls
HF: Form F                          :      0.000u      0.000s      0.000w     23 calls
HF: Form D                          :      0.000u      0.000s      0.000w     23 calls
HF: DIIS                            :      0.017u      0.000s      0.011w     22 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     21 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.002w     21 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     21 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     21 calls
New vector                          :      0.000u      0.000s      0.000w     21 calls
HF: Form C                          :      0.000u      0.000s      0.001w     22 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      2 calls
DFMP2 Aia                           :      0.183u      0.017s      0.112w      2 calls
DFMP2 (A|mn)                        :      0.000u      0.000s      0.003w      2 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w      2 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      2 calls
DFMP2 Aia Write                     :      0.000u      0.017s      0.000w      2 calls
